weeks	baby_id	g__Bifidobacterium	B_adolescentis	B_angulatum	B_animalis	B_bifidum	B_breve	B_catenulatum	B_dentium	B_longum	B_pseudocatenulatum	B_pseudolongum	B_psychraerophilum
1	360	1.62129	0.02872	0	0	0.68595	0.1797	0	0.00323	0.61464	0.10905	0	0
1	162	0.4201	0.02965	0	0.0192	0.04272	0.10565999999999999	0	0.029410000000000002	0.19257	9.1e-4	0	0
1	285	0.46498999999999996	0.00147	0	0	0.01468	0.015780000000000002	0	0.00206	0.42995	0.00106	0	0
1	276	0.25688	0.04929	0	0	0.01208	0.02805	0	0	0.14189000000000002	0.02557	0	0
1	270	1.0135100000000001	0.02277	0	0.04185	0.32836	0.09017	0.0019399999999999999	0.06674	0.4176	0.04408	0	0
1	174	95.79804	0	0	0.03373	83.25203	6.4883	0	0.00109	6.02179	0.00109	0	0
1	147	23.07769	0	0	0.0831	0	0	0	0	22.99459	0	0	0
1	138	0.30136	0.13660999999999998	0	0.0041600000000000005	0	0.01791	0	0	0.14268	0	0	0
1	23	1.05293	0.00159	0	0	0.12422000000000001	0.02132	0	0	0.78347	0.12232	0	0
1	382	0	0	0	0	0	0	0	0	0	0	0	0
1	477	14.891229999999998	10.32178	0	0	0.24049	0.00117	0	0	3.32429	1.0035	0	0
1	39	0.24155	0.09376	0	0.00158	0.00149	0	0	0.02889	0.11582999999999999	0	0	0
1	48	0.41834	0.045919999999999996	0	0	0.04651	0.00275	0	0.0018600000000000001	0.32131	0	0	0
1	297	5.62165	0	0	0	0.10635	0.97259	0	0.040139999999999995	4.49671	0.00585	0	0
1	302	1.7189299999999998	0.08885	0	0.044969999999999996	0.70439	0	0	0.00259	0.87813	0	0	0
1	311	23.885189999999998	0.28017	1.8446099999999999	5.9999999999999995e-5	9.61709	7.599999999999999e-4	0	0	12.11887	0.02363	0	0
1	332	0.008020000000000001	0	0	0	0	0	0	0.006229999999999999	0.00179	0	0	0
1	340	12.5868	0.18605	0	0	0.05772000000000001	0.00471	10.44519	0	1.8732400000000002	0.01989	0	0
1	279	0.55314	0.07966000000000001	0	0	0.14072	0.02431	0.08678999999999999	0.02733	0.17428	0.02005	0	0
1	273	0.09508	0	0	0	0.07564	0.01176	0	0	0.00505	0.00263	0	0
1	267	0.059520000000000003	0.00634	0	0	0.04079	0.00245	0	0.009940000000000001	0	0	0	0
1	180	0.29941	0.04068	0	0	0	0.12247999999999999	0	0	0.13626	0	0	0
1	132	0.8843	0	0	0.04965	0	0.40873000000000004	0	0	0.42591999999999997	0	0	0
1	135	7.094119999999999	0	0	0	0.88134	0.30959000000000003	0	0	5.90319	0	0	0
1	141	83.60427	0	0	0.01295	77.5576	0.006640000000000001	0	0	5.95699	0.0701	0	0
1	159	20.7351	0	0	0.29901	3.09026	6.25102	0	0	7.18699	3.90781	0	0
1	165	1.29715	0.25397	0	0	0.17883	0.66364	0	0.030189999999999998	0.15304	0.017490000000000002	0	0
1	126	1.08418	0	0	0.02462	0.13	0.17027	0	0.00949	0.7498100000000001	0	0	0
1	144	39.39006	0	0	0	0.64288	38.39067	0	0	0.35652	0	0	0
1	18	82.80108	0	0	0	0.01823	0.01403	0	0	82.76881999999999	0	0	0
1	45	0.08897999999999999	0.00195	0	0	0	0	0	0	0.08703	0	0	0
1	259	11.62653	0	0	0.77533	0	0.58905	0	0	10.26216	0	0	0
1	357	0.08519	0.038919999999999996	0	0	0	2.9e-4	0	0	0.04548	4.2e-4	0	0
1	363	0.01485	0.00499	0	0	0	0	0	0.009859999999999999	0	0	0	0
1	480	4.3093699999999995	3.77631	0	4e-4	0.15825999999999998	0	0	0.26699	0.10740999999999999	0	0	0
1	483	11.63808	0	0	11.63808	0	0	0	0	0	0	0	0
1	488	8.15063	0	0	0.1861	0.07215	0.0071200000000000005	0	0	7.78945	0.0958	0	0
1	492	0.03083	0.00183	0	0	0.0072299999999999994	0.01583	0	0	0.0018899999999999998	0.00406	0	0
1	519	0.09429	0	0	0	0	0	0	0	0.09429	0	0	0
1	522	0.63766	0	0	0	0	0.06777999999999999	0	0	0.51559	0.05429	0	0
1	530	0.00217	0	0	0	0	0	0	0	0.00217	0	0	0
1	534	32.98238	0	0	0.61141	0.01089	0.00386	0	27.263759999999998	5.09246	0	0	0
1	119	6.79352	0.03814	1.4e-4	0.0039299999999999995	0.11298	0.0041600000000000005	0	0.20828000000000002	6.35323	0.07267	0	0
1	65	0.0196	0	0	0	0	0	0	0.0017699999999999999	0.017830000000000002	0	0	0
1	564	11.0878	9.747910000000001	0	0	0	0	0	0	0.8803	0.45958999999999994	0	0
1	171	0.54328	0.29346	0	0	0	0.0374	0	0.02967	0.18275	0	0	0
1	156	0.09521	0.01855	0	0	0.06742999999999999	0	0	0	0.00923	0	0	0
1	305	69.13651	5.4694	0	0	2.95624	0.08897000000000001	0	1.02817	59.5926	0.00114	0	0
1	308	0.24879	0.02327	0	0.00835	0.09348	0.03715	0	0.00763	0.07892	0	0	0
1	150	0.41527	0.14034000000000002	0	0	0.040639999999999996	0.15409	0	0.018330000000000003	0.06187	0	0	0
1	129	1.6636400000000002	0	0	0.04086	0.75088	0.029830000000000002	0	0	0.5784199999999999	0.26365	0	0
1	42	0.17509	2.7e-4	0	0.028460000000000003	0	0.07318	0	0.03468	0.03773	7.599999999999999e-4	0	0
1	25	0.24356	0.01571	0	7.5e-4	0.11490999999999998	0	0	0.01168	0.10052	0	0	0
1	15	41.62983	0	0	0	40.510090000000005	0	0	0.0018100000000000002	1.1179299999999999	0	0	0
1	21	1.75978	0	0	0.0054600000000000004	0.06942000000000001	0.06042	0	0	1.53415	0.09033	0	0
1	437	14.00445	0	0	0	0	3.81661	0	3.98538	6.202459999999999	0	0	0
1	508	17.16674	0.77622	0	0	1.62161	7.79143	0	6.603960000000001	0.37351999999999996	0	0	0
1	533	0.79948	0.07132000000000001	0	0.015369999999999998	0.30946999999999997	0.14632	0	0	0.18617999999999998	0.07082000000000001	0	0
1	558	18.33119	0.07013	0	0.005229999999999999	9.15881	0	0	7.599999999999999e-4	2.49839	6.597860000000001	0	0
1	223	0.35020999999999997	0	0	0	0.19421	0.13509000000000002	0	0	0.020909999999999998	0	0	0
1	122	94.12597	0	0.20656999999999998	0.00229	12.4824	0	0	0	81.4347	0	0	0
1	61	65.63309	2.41623	0	0	62.95626	0.01949	0.05557	0.00658	0.17784	0.0011300000000000001	0	0
1	238	0.00293	0.0018	0	0	0	0	0	0	0.0011300000000000001	0	0	0
1	250	0.24026999999999998	0	0	0.0036799999999999997	0.03358	0.03081	0	0	0.1722	0	0	0
1	253	13.984279999999998	1.90957	0.02731	0.31406999999999996	3.52624	0.79556	0	0	3.1821599999999997	4.229369999999999	0	0
1	334	92.51224	0	0	0.00551	0.03821	0.054779999999999995	0.00534	0	92.4084	0	0	0
1	290	73.94791	0.00735	0	0	73.45263	0.33371999999999996	0	0.09108	0.061270000000000005	0.0018600000000000001	0	0
1	153	3.3503199999999995	0	0	0	0.01102	1.73638	0	0	1.6029200000000001	0	0	0
1	186	0.41795	0	0	0	0	0.22648000000000001	0	0	0.19147	0	0	0
1	80	83.54784000000001	0.01028	0	0	0.12509	0.026950000000000002	0	0.09092	83.28886	0.0057399999999999994	0	0
1	477	0.38605	0	0	0	0.05296	0.02077	0	0.022090000000000002	0.29022	0	0	0
1	531	2.94608	2.3315599999999996	0	0.006659999999999999	0.18891	0.08741	0	0	0.30293000000000003	0.028610000000000003	0	0
1	529	5.29261	4.4333	0	0	0.06321	0.08843	0	0	0.49333999999999995	0.21433000000000002	0	0
1	570	31.58369	0.04179	0	0	0.028689999999999997	0.03644	0	0	31.47533	0.00144	0	0
1	218	20.49896	0.0065	0	0.06348999999999999	8.03722	5.0915	0	0	7.300260000000001	0	0	0
1	237	0	0	0	0	0	0	0	0	0	0	0	0
1	244	5.59983	0	0	0	0	0.33981	0	0.17974	5.08027	0	0	0
1	54	3.3782099999999997	0	0	0	0	1.2221	0	1.13075	0.46051000000000003	0.56485	0	0
1	251	2.85318	0.01415	0	2.68018	0.09967000000000001	0.03564	0	0	0.012740000000000001	0.0108	0	0
1	314	0.20171	0.03904	0	0.019180000000000003	0.01085	0.03628	0	0.00296	0.03759	0.055810000000000005	0	0
1	337	86.78876	0.00337	0	0	0.08437	0.09147999999999999	0	0.02097	86.58704	0.0015199999999999999	0	0
1	256	0.76785	0.00912	0	0	0.11864000000000001	0.0033799999999999998	0	0.08932999999999999	0.54738	0	0	0
1	356	17.78604	0	0	0	13.07743	0	0	2.5635	2.14511	0	0	0
1	376	9.22459	0	0	0	0.62549	0.39444	0.09286	3.2400900000000004	4.8074900000000005	0.06423	0	0
1	379	0.00402	0	0	0	0	0.0036	0	0	4.2e-4	0	0	0
1	542	5.906969999999999	0.36221	0	0	0.46753999999999996	0	0	0.36408	4.71315	0	0	0
1	220	33.11688	10.20502	0	0.0032	11.380939999999999	0.03871	0	0	11.466389999999999	0.02263	0	0
1	225	0.9352600000000001	0	0	0.85155	0.0695	0.00713	0	9.199999999999999e-4	0.0056700000000000006	4.9e-4	0	0
1	227	0.09747	0	0	0.06989	0.00225	0	0	0.00484	0.017490000000000002	0.00301	0	0
1	262	0.00915	0	0	0.0030399999999999997	0	0.00611	0	0	0	0	0	0
1	347	48.40958	0.20765999999999998	0	2.6000000000000003e-4	0.61219	0.9345	0	0.040510000000000004	46.49535	0.058839999999999996	0	0.060270000000000004
1	189	0.14231	0.00275	0	0	0.02915	0.00995	0	0	0.09983	6.3e-4	0	0
1	282	55.8819	5.17711	0	0	20.99938	2.34578	0.00506	0.00656	27.34367	0.00434	0	0
1	28	49.13868	1.6293799999999998	0.0138	0.026139999999999997	0	44.81924	0	0.06631000000000001	1.28692	1.2969	0	0
1	531	0.05538	0	0	0	0.01181	0	0	0.00165	0.04192	0	0	0
1	545	0.31758000000000003	0	0	0	0.15868	0.02034	0	0.05967000000000001	0.07889	0	0	0
1	550	0.22755999999999998	0.09391000000000001	0	0	0.03236	0.08344	0	0	0.01265	0.00519	0	0
1	233	0.0107	0	0	0	3.5e-4	0.00149	0	0	0.00886	0	0	0
1	242	0.00474	0	0	0	0.00125	0	0	0	0.0019399999999999999	0.00156	0	0
1	254	0.14970999999999998	0	0	0.0607	0	0	0	0	0.08901	0	0	0
1	230	0.26505	0	0	0.13555	0.08635	0.02056	0	0.013569999999999999	0.00902	0	0	0
1	222	0.05212000000000001	0.00328	0	0	0.016819999999999998	0.01154	0	0	0.01311	0.007370000000000001	0	0
1	34	73.89751	0.00606	0	0.01619	0.0228	0.02949	0.10162	0.0241	27.039109999999997	46.65814	0	0
2	324	0.04962	0	0	0	0	0.04696	0	0.0013	0.0013599999999999999	0	0	0
2	343	0.2911	0.00618	0	0	0	0	0	0	0.28492	0	0	0
2	257	0.2645	0	0	0.24748	0	0	0	0.01702	0	0	0	0
2	491	2.09363	0.12282	0	0	1.10085	0	0	0.24499	0.62497	0	0	0
2	498	0.03305	0	0	0	0.01848	0	0	0.01457	0	0	0	0
2	526	0	0	0	0	0	0	0	0	0	0	0	0
2	249	0.43348000000000003	0.09688	0	0	0.02537	0.08656	0	0.19209	0.03258	0	0	0
2	319	0.78005	0.27241	0	0	0.06963	0.10317	0	0	0.33269	0.00214	0	0
2	346	1.09186	0.054439999999999995	0	0	0.00899	0.33271999999999996	0	0.03703	0.65155	0.00713	0	0
2	248	0.7049300000000001	0.01885	0	0	0.07386000000000001	0.04506	0	0	0.5443100000000001	0.02286	0	0
2	239	1.77532	0	0	0	0	0	0	1.63097	0.14434	0	0	0
2	340	44.003240000000005	0.25166	0	0	0	29.810509999999997	13.75436	0	0.09052	0.09619	0	0
2	531	0	0	0	0	0	0	0	0	0	0	0	0
2	255	0.47318999999999994	0.015080000000000001	0	0	0.15450999999999998	0.00282	0	0.03333	0.26385	0.00361	0	0
2	530	0.03094	0	0	0	0.01146	0	0	0	0.01949	0	0	0
2	529	0.2037	0	0	0	0.059079999999999994	0	0	0.027010000000000003	0.11760999999999999	0	0	0
2	228	0.36030999999999996	8.300000000000001e-4	0	0	0.13967000000000002	0.01133	0	0	0.0634	0.14508	0	0
2	314	0.86779	0.02077	0	0	0.1698	0.4164	0	0.02503	0.2216	0.0142	0	0
2	259	3.56468	0.0161	0	3.3510199999999997	0.16837	6e-4	0	0.00655	0.017490000000000002	0.00456	0	0
2	549	0.46348	0	0	0	0.18865	0	0	0	0.2005	0.07433	0	0
2	318	14.543920000000002	0	0	0	0.048119999999999996	0.16677	0	14.150929999999999	0.17315999999999998	0.00494	0	0
2	479	0	0	0	0	0	0	0	0	0	0	0	0
2	557	7.199560000000001	4.47542	0	0.0045	0.00998	0.11667000000000001	0	0.005	2.58019	0.007790000000000001	0	0
2	235	0.42996	0	0	0	0.31368	0.07048	0	0	0.03108	0.014730000000000002	0	0
3	327	0.36944	0.02068	0	0	0.0101	0.16072999999999998	0	0.022109999999999998	0.15100999999999998	0.0048200000000000005	0	0
3	243	53.966680000000004	0.00193	0	0.13321	50.97508	0.022959999999999998	0	2.76562	0.06787	0	0	0
3	495	0	0	0	0	0	0	0	0	0	0	0	0
3	327	0.11911	0	0	6.5e-4	0.049319999999999996	0.055060000000000005	0	0	0.01096	0.0031100000000000004	0	0
3	572	8.61288	0	0	0	0.75497	0	0	1.6e-4	7.269360000000001	0.58839	0	0
3	353	8.05975	0	0	0	0	0.07447000000000001	0	0	4.15327	3.832	0	0
4	282	90.73604	28.61875	0	0	33.430609999999994	26.53789	0	0	2.12652	0.02228	0	0
4	545	3.07377	0.08857000000000001	0	0	0.09921	2.87197	0	0	0.0073	0.0067	0	0
4	253	0.44272	0.02219	0	0	0.21893	0.00296	0	6.1e-4	0.1942	0.0038299999999999996	0	0
4	346	0.09491000000000001	0.005379999999999999	0	0	0	0	0	0.006509999999999999	0.08302000000000001	0	0	0
4	508	0.0264	0	0	0	0	0.01505	0	0.011340000000000001	0	0	0	0
4	542	9.77868	0	0	0	0	0	0	0	9.77868	0	0	0
4	220	56.59349	0	0	0	0.00913	0.007509999999999999	0	0.00466	56.57144	7.5e-4	0	0
4	227	0.12644	0	0	0.10992	0	0.011359999999999999	0	0.0043	8.5e-4	0	0	0
4	230	33.621140000000004	5.3e-4	0	0	6.13469	12.254389999999999	0	0	15.23138	1.6e-4	0	0
4	234	0.01823	0	0	0	0	0	0	0.01738	8.5e-4	0	0	0
4	240	0.11372	0	0	0	0.056620000000000004	0.04554	0	0	0.011559999999999999	0	0	0
5	479	0.013669999999999998	0.0012900000000000001	0	0	9.5e-4	0	0	0	0.01144	0	0	0
